#a	c	gamma	std
0.3	-0.9	0.12317761182511083	0.041072579861357324
0.3	-0.8	0.13770330269615288	0.04334282670179553
0.3	-0.7	0.14456828615815756	0.05463478495823353
0.3	-0.6	0.14703634235493687	0.05103929557963374
0.3	-0.5	0.15252668904954572	0.060915245523585244
0.3	-0.4	0.16099789764658895	0.053902134135862444
0.3	-0.3	0.16860016505339379	0.05574843244130159
0.3	-0.2	0.14913726826867654	0.05834997694349931
0.3	-0.1	0.1626008504879134	0.06027743250548625
0.3	-0.0	0.17374886357246905	0.05591127328973917
0.3	0.1	0.1708740394689391	0.05905138848243538
0.3	0.2	0.17014607537153492	0.07001105643114149
0.3	0.3	0.18095469456758975	0.07247994990959991
0.3	0.4	0.16821491569623054	0.06329824087541389
0.3	0.5	0.16353639364849426	0.06846346877751959
0.3	0.6	0.17802454041536847	0.06289946425081182
0.3	0.7	0.17165648521439222	0.07046705658902579
0.3	0.8	0.18130679394713473	0.06422204737267338
0.3	0.9	0.17831682597681062	0.06263489082844657
0.3	0.999	0.18290694831235757	0.06522685826929951
0.35000000000000003	-0.999	0.10215259518617356	0.05020639028413276
0.35000000000000003	-0.9	0.14250819253961544	0.05410375033326437
0.35000000000000003	-0.8	0.15467757475995736	0.05244594754959317
