#a	c	var	std
0.3	-0.6	0.012967378017461983	0.002323084823905353
0.3	-0.5	0.014534524398555054	0.0025556246520933466
0.3	-0.4	0.015297393914779172	0.002753361872945914
0.3	-0.3	0.016679014322552446	0.0027464227854452567
0.3	-0.2	0.017058093786707987	0.0033393746797495756
0.3	-0.1	0.018202685735827444	0.003231453011855046
0.3	-0.0	0.01882452970356164	0.003936472653219956
0.3	0.1	0.019606257810755194	0.00397496722760198
0.3	0.2	0.019808485944396447	0.004111285174979601
0.3	0.3	0.019363355133287782	0.0043604374246454195
0.3	0.4	0.020384444955656004	0.004620795535955201
0.3	0.5	0.02056327966193123	0.004774825893536304
0.3	0.6	0.02047373365930813	0.005554319225677587
0.3	0.7	0.02071470132599339	0.005399810309685966
0.3	0.8	0.021323181437936087	0.005372796535662939
0.3	0.9	0.02084380610219847	0.00634603266279098
0.3	0.999	0.020501885237859445	0.006273358774584007
0.35000000000000003	-0.999	0.004943109348535662	0.0018507783603823587
0.35000000000000003	-0.9	0.007469591844403419	0.0018329240933045293
0.35000000000000003	-0.8	0.00979284019969009	0.002226145761490453
0.35000000000000003	-0.7	0.011704723600364788	0.002468068103717775
0.35000000000000003	-0.6	0.013350549324052888	0.002544694256017191
0.35000000000000003	-0.5	0.014861039025408621	0.0028498411538172303
0.35000000000000003	-0.4	0.015852245734951424	0.0030351865056312704
0.35000000000000003	-0.3	0.017312247324746094	0.0030030940573983612
0.35000000000000003	-0.2	0.017918055300591842	0.0030506034991568194
0.35000000000000003	-0.1	0.018424615188910802	0.0035000372549228408
0.35000000000000003	-0.0	0.0188094511588192	0.003530044627123016
0.35000000000000003	0.1	0.019603855595801647	0.003972881430519728
0.35000000000000003	0.2	0.020178226828156242	0.0040167948507567885
0.35000000000000003	0.3	0.02014180663881017	0.0043178334062771075
0.35000000000000003	0.4	0.020056117893814243	0.004407678150430831
0.35000000000000003	0.5	0.020673571036072397	0.005279935743991712
0.35000000000000003	0.6	0.020543116972483212	0.005146271029985512
0.35000000000000003	0.7	0.021011090473445904	0.0055725482949053416
0.35000000000000003	0.8	0.020788162869536938	0.005761167316840768
0.35000000000000003	0.9	0.02019225295948631	0.006204240851949561
0.35000000000000003	0.999	0.021665887132311126	0.006605050692971681
0.39999999999999997	-0.999	0.005252024120758258	0.001844956510797049
0.39999999999999997	-0.9	0.007805906894720388	0.001922936612154023
0.39999999999999997	-0.8	0.009899012296733367	0.0019377125246965582
0.39999999999999997	-0.7	0.01194042339972235	0.0025040838548396897
0.39999999999999997	-0.6	0.013744274986592666	0.0027786325915855905
0.39999999999999997	-0.5	0.015257455010344463	0.002841035221742264
0.39999999999999997	-0.4	0.016287106952363652	0.0030931916619459216
0.39999999999999997	-0.3	0.017736746405347698	0.0032911122839339646
0.39999999999999997	-0.2	0.018420558706763096	0.003339159632074361
0.39999999999999997	-0.1	0.018823234496553713	0.0037748666042750657
0.39999999999999997	-0.0	0.01946544912855514	0.003589285297238712
0.39999999999999997	0.1	0.0198823571663893	0.004024681236573765
