#a	c	min	max
0.85	-0.9	2	27
0.85	-0.8	2	29
0.85	-0.7	2	28
0.85	-0.6	2	29
0.85	-0.5	2	26
0.85	-0.4	1	26
0.85	-0.3	2	25
0.85	-0.2	1	24
0.85	-0.1	1	25
0.85	-0.0	1	23
0.85	0.1	1	25
0.85	0.2	1	24
0.85	0.3	1	24
0.85	0.4	1	23
0.85	0.5	1	25
0.85	0.6	1	21
0.85	0.7	1	22
0.85	0.8	1	19
0.85	0.9	1	18
0.85	0.999	1	18
0.8999999999999999	-0.999	2	26
0.8999999999999999	-0.9	2	27
0.8999999999999999	-0.8	2	26
0.8999999999999999	-0.7	2	27
0.8999999999999999	-0.6	2	28
0.8999999999999999	-0.5	2	27
0.8999999999999999	-0.4	2	27
0.8999999999999999	-0.3	2	27
0.8999999999999999	-0.2	2	27
0.8999999999999999	-0.1	2	25
0.8999999999999999	-0.0	1	26
0.8999999999999999	0.1	1	26
0.8999999999999999	0.2	1	23
0.8999999999999999	0.3	1	23
0.8999999999999999	0.4	1	24
0.8999999999999999	0.5	1	25
0.8999999999999999	0.6	1	22
0.8999999999999999	0.7	1	23
0.8999999999999999	0.8	1	23
0.8999999999999999	0.9	1	19
0.8999999999999999	0.999	1	20
0.95	-0.999	2	29
0.95	-0.9	3	34
0.95	-0.8	2	30
0.95	-0.7	2	30
0.95	-0.6	2	28
0.95	-0.5	2	32
0.95	-0.4	2	29
0.95	-0.3	3	27
0.95	-0.2	2	28
0.95	-0.1	2	26
0.95	-0.0	1	27
0.95	0.1	1	28
0.95	0.2	1	27
0.95	0.3	2	24
0.95	0.4	1	25
0.95	0.5	1	22
0.95	0.6	1	25
0.95	0.7	1	23
0.95	0.8	1	20
0.95	0.9	1	21
0.95	0.999	1	21
0.9998999999999999	-0.999	3	44
0.9998999999999999	-0.9	5	41
0.9998999999999999	-0.8	4	43
0.9998999999999999	-0.7	4	40
0.9998999999999999	-0.6	4	34
0.9998999999999999	-0.5	4	35
0.9998999999999999	-0.4	4	40
0.9998999999999999	-0.3	5	35
0.9998999999999999	-0.2	5	33
0.9998999999999999	-0.1	5	35
0.9998999999999999	-0.0	4	33
0.9998999999999999	0.1	3	33
0.9998999999999999	0.2	3	35
0.9998999999999999	0.3	3	35
0.9998999999999999	0.4	3	34
0.9998999999999999	0.5	3	31
0.9998999999999999	0.6	3	30
0.9998999999999999	0.7	3	27
0.9998999999999999	0.8	2	27
0.9998999999999999	0.9	2	25
0.9998999999999999	0.999	2	24
