#a	c	mean_phenotypic_distance	std
0.39999999999999997	-0.8	0.7712356410639981	0.4644525909207894
0.39999999999999997	-0.7	0.5563404169311514	0.4801009073364718
0.39999999999999997	-0.6	0.6355968137101471	0.5282682201006431
0.39999999999999997	-0.5	0.513377291515641	0.46954268630636825
0.39999999999999997	-0.4	0.45409838261329855	0.44250523624280014
0.39999999999999997	-0.3	0.37212056011702	0.42244262939303007
0.39999999999999997	-0.2	0.285643599915559	0.3759342463723872
0.39999999999999997	-0.1	0.1418934983880897	0.28832506378419953
0.39999999999999997	-0.0	0.20466832384688496	0.3030601234245329
0.39999999999999997	0.1	0.16185409130460068	0.24881539366556005
0.39999999999999997	0.2	0.1167359817589431	0.2245473141536253
0.39999999999999997	0.3	0.1492348822595488	0.2583008392073087
0.39999999999999997	0.4	0.09723180103182347	0.18833804548263436
0.39999999999999997	0.5	0.04898745941957878	0.09364797056282441
0.39999999999999997	0.6	0.04464725799732495	0.09474218649388844
0.39999999999999997	0.7	0.040926821270166974	0.08170644336761289
0.39999999999999997	0.8	0.03259424946306674	0.07448093406802972
0.39999999999999997	0.9	0.019577215297797223	0.014738817443396716
0.39999999999999997	0.999	0.017155999483125493	0.010008933525772326
0.44999999999999996	-0.999	1.1378666353151818	0.39864195172040945
0.44999999999999996	-0.9	0.9547800310702645	0.4708445187414914
0.44999999999999996	-0.8	0.9206983004499434	0.5802498295998068
0.44999999999999996	-0.7	0.8197735351197689	0.5817918558417686
0.44999999999999996	-0.6	0.4988790150857242	0.4640174446001389
0.44999999999999996	-0.5	0.5145886758180772	0.4438599088709511
0.44999999999999996	-0.4	0.4513456540030942	0.4819470135424236
0.44999999999999996	-0.3	0.35263255141749	0.44438332452241
0.44999999999999996	-0.2	0.2380462177914737	0.3462242278606291
0.44999999999999996	-0.1	0.23266103476037994	0.32738417072104614
0.44999999999999996	-0.0	0.21767889634628526	0.3192984232967403
0.44999999999999996	0.1	0.16421718918017655	0.26970460090775605
0.44999999999999996	0.2	0.16436565020681035	0.26646380007184256
0.44999999999999996	0.3	0.12381524175149337	0.21960628881188834
0.44999999999999996	0.4	0.07935463912123836	0.15994026731269317
0.44999999999999996	0.5	0.05725511239973698	0.11308129157716774
0.44999999999999996	0.6	0.0640260288405504	0.14520834491244788
0.44999999999999996	0.7	0.05198360225535652	0.11653982455095709
0.44999999999999996	0.8	0.026644466941069346	0.03269672192832363
0.44999999999999996	0.9	0.025966403102054152	0.041943376277518984
0.44999999999999996	0.999	0.017198678048641988	0.010273147169822121
0.5	-0.999	1.2056067779783253	0.3185004743702139
0.5	-0.9	1.0696733675904861	0.475510674202748
0.5	-0.8	0.8944117082848051	0.5180838316569267
0.5	-0.7	0.7363079515720853	0.5168112841685529
0.5	-0.6	0.6374463326375913	0.5691650292194774
0.5	-0.5	0.4704961424683633	0.497906179319639
0.5	-0.4	0.5427189052118694	0.5086010846171354
