#n_pop	landscape_idx	replicate	t	entropy	haplotype_diversity	nucleotide_diversity	strains	n_maxima	n_minima	maximum	minimum	gamma	mean	var	fitness_wildtype	mean_phenotypic_distance	tg0	n0	tg1	n1	tg2	n2	tg3	n3	tg4	n4	tg5	n5	tg6	n6	tg7	n7	tg8	n8	tg9	n9
1000	0	0	243	0.03675366678709746	0.00996599999999992	0.009982	4	3	3	1.0016468405927248	0.36678644440135294	0.644018335628761	0.5128466338811433	0.02022364612472527	0.4318069534163178	0.015610849173085823	27	995	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	244	0.06090186678951518	0.01788999999999996	0.017942	4	3	3	1.0030582730249349	0.3673032875264376	0.6440183356287623	0.5135692921499814	0.020280681039513637	0.4324154177111236	0.02862991264420236	27	991	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	245	0.034844124282213035	0.009961999999999915	0.009974	3	3	3	1.0015304559764193	0.3667438262869959	0.6440183356287627	0.5127870445565542	0.02021894669483454	0.4317567803567575	0.01438067954759331	27	995	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	246	0.007907255112232087	0.0019979999999999443	0.001998	2	3	3	1.0002642619202584	0.36628016704407695	0.6440183356287604	0.5121387488367192	0.02016785503455576	0.4312109278909312	0.002366565258257728	27	999	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	247	0.015813509223296007	0.003993999999999942	0.0039959999999999996	3	3	3	1.0008570094221776	0.36649722133891016	0.6440183356287618	0.5124422376002049	0.02019176469162115	0.43146645956394825	0.008628867041832706	27	998	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	248	0.0798421122394737	0.023809999999999887	0.023908	5	3	3	1.0043754786014116	0.3677856263412395	0.6440183356287615	0.5142437059439947	0.020333980767030302	0.43298326109059737	0.04225986361847345	27	988	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	249	0.04728254002311017	0.013923999999999936	0.013946	4	3	3	1.0027024112981373	0.3671729768698459	0.6440183356287603	0.5133870897196243	0.02026629336506519	0.43226200678637583	0.02682222878500109	27	993	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	250	0.0549121903888239	0.01591200000000004	0.015952	4	3	3	1.002697437835437	0.3671711556703709	0.6440183356287617	0.513384543289584	0.020266092321559293	0.4322598627414994	0.025950267248513872	27	992	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	251	0.0753109819745511	0.021845999999999925	0.021934000000000006	5	3	3	1.0037286400780152	0.36754876481232174	0.6440183356287641	0.5139125223911246	0.02030779819480255	0.4327044109402042	0.03536291434456704	27	989	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	252	0.0804345818522802	0.02381399999999992	0.023916	5	3	3	1.0040300070840507	0.3676591204068526	0.6440183356287605	0.514066823336672	0.02031999475644103	0.43283432935402283	0.03791584760262753	27	988	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	253	0.09379113094032611	0.02774999999999997	0.027892000000000004	6	3	3	1.00531726305454	0.36813049217314386	0.6440183356287613	0.5147259028292188	0.020372132246776642	0.4333892615480435	0.05162131390947605	27	986	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	254	0.10742367287242989	0.033618000000000044	0.033814000000000004	5	3	3	1.005981856316608	0.3683738551926117	0.6440183356287622	0.5150661768694683	0.020399076292306306	0.4336757657131092	0.05669421026948733	27	983	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	255	0.07191691960276769	0.021823999999999982	0.021890000000000003	5	3	3	1.0039599781852842	0.367633476986694	0.6440183356287591	0.5140309682991964	0.020317160304839876	0.4328041401054754	0.0382196805855587	27	989	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	256	0.07872639448290265	0.023803999999999877	0.023896	5	3	3	1.003810189082761	0.36757862670404146	0.6440183356287613	0.5139542757625578	0.020311098186334586	0.43273956647194084	0.03554918803312484	27	988	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	257	0.10551413036754545	0.03360600000000006	0.03379	5	3	3	1.0053296859634095	0.3681350412361356	0.6440183356287609	0.5147322634013671	0.020372635735009526	0.43339461702685517	0.04931351929951996	27	983	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	258	0.07333221800062471	0.021835999999999908	0.021913999999999996	5	3	3	1.003544050478871	0.3674811711655395	0.6440183356287629	0.5138180118802995	0.02030032951554661	0.43262483491679093	0.03323456794933622	27	989	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	259	0.042746364338378244	0.011949999999999942	0.011972000000000002	4	3	3	1.0019484538135877	0.36689689015566623	0.6440183356287627	0.513001060889531	0.02023582733902851	0.4319369779726114	0.018333859779782247	27	994	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	260	0.036230418643332915	0.009963999999999898	0.009978	4	3	3	1.001683301361694	0.3667997957296539	0.6440183356287611	0.512865301920493	0.020225118466232372	0.43182267154463383	0.01599089703565737	27	995	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	261	0.04873805585327201	0.01393199999999998	0.013962000000000002	4	3	3	1.0024468607573676	0.36707939850428317	0.6440183356287621	0.5132562469621683	0.020255964473466115	0.4321518397135297	0.023122528647940056	27	993	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	262	0.04326961248214279	0.011951999999999963	0.011976000000000002	4	3	3	1.0020284470478251	0.36692618235005353	0.6440183356287607	0.5130420177011031	0.020239058630794005	0.43197146281634086	0.019181489827841854	27	994	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	263	0.015813509223296007	0.003993999999999942	0.0039959999999999996	3	3	3	1.0006448154352916	0.3664195194236052	0.6440183356287615	0.5123335935477364	0.020183203794667814	0.4313749833716445	0.005963335958009864	27	998	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	264	0.015813509223296007	0.003993999999999942	0.0039959999999999996	3	3	3	1.0006448154352916	0.3664195194236052	0.6440183356287625	0.5123335935477363	0.02018320379466798	0.4313749833716445	0.005963335958009864	27	998	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	265	0.060378618645750635	0.017879999999999924	0.017921999999999997	5	3	3	1.0032066299345355	0.3673576133638181	0.644018335628762	0.5136452513989084	0.020286680694270864	0.43247937393057806	0.031083675424094726	27	991	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	266	0.0858969676576783	0.025778000000000006	0.025894	5	3	3	1.0045521233033983	0.3678503106985781	0.644018335628762	0.5143341486400981	0.020341133880405704	0.43305941209263793	0.0435182099908651	27	987	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	267	0.06498099160341514	0.019853999999999955	0.019908000000000002	4	3	3	1.0037062897048374	0.36754058047670896	0.6440183356287597	0.5139010789230422	0.020306893803323456	0.43269477576125837	0.03583755833624357	27	990	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	268	0.03938130600333196	0.011937999999999893	0.011948	3	3	3	1.0022239953594483	0.3669977888954169	0.644018335628762	0.5131421391104789	0.020246958805553716	0.43205576310788646	0.021819536426162675	27	994	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	269	0.02371876133018424	0.005987999999999882	0.005993999999999999	4	3	3	1.0013418599423205	0.36667476555024525	0.644018335628763	0.512690482737227	0.02021133263954833	0.43167547717123317	0.013512278927688004	27	997	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	270	0.02233246696906435	0.0059859999999999644	0.0059900000000000005	3	3	3	1.001106997279637	0.3665887627421924	0.6440183356287623	0.5125702322446379	0.020201852698873313	0.43157422858067745	0.010543033445140066	27	997	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	271	0.03623041864333292	0.009963999999999891	0.009978	4	3	3	1.0018571942538415	0.36686347241991296	0.6440183356287611	0.5129543356804767	0.020232141263989756	0.43189763624969346	0.01776076981487674	27	995	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	272	0.05379647263225285	0.01590599999999998	0.01594	4	3	3	1.0029683094540256	0.3672703443602814	0.6440183356287612	0.5135232304916771	0.020277043283431606	0.4323766346851123	0.02819933608578306	27	992	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	273	0.02371876133018424	0.005987999999999911	0.005993999999999999	4	3	3	1.0010945325450573	0.3665841983633199	0.6440183356287589	0.5125638502575819	0.02020134963743242	0.43156885507092746	0.01060702342969959	27	997	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	274	0.052033892719276345	0.013937999999999924	0.013974000000000007	6	3	3	1.003143629841793	0.3673345437757383	0.6440183356287598	0.5136129951343371	0.02028413281909408	0.4324522147792589	0.03164507960123046	27	993	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1000	0	0	275	0.07018637097430391	0.019871999999999918	0.019944	6	3	3	1.0039418317451865	0.3676268320615845	0.644018335628761	0.514021677259337	0.020316425851657383	0.43279631722949125	0.03863165938632616	27	990	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
